번호,상품명,대분류명,중분류명,소분류명,제조사명,총용량,총용량명,단위용량,단위용량명,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12
209,하기스 코튼케어(묶음),일반공산품,이미용품,물휴지,유한킴벌리,348,매,10,매,10808,11347,12150,11270,11687,11110,10938,11016,10968,11411,10925,11058
210,바디피트 볼록맞춤울트라중형,일반공산품,이미용품,생리대,LG생활건강,16,개,1,개,7273,6291,5954,5614,3984,3894,3776,3681,3744,3846,3789,3915
211,위스퍼 리프레시 클린케어 중형날개,일반공산품,이미용품,생리대,한국P&G,36,개,1,개,7067,6752,6780,6440,6747,7317,7624,7992,8212,8146,8111,8311
212,화이트 NEW시크릿홀 울트라 날개 중형,일반공산품,이미용품,생리대,유한킴벌리,36,개,1,개,7823,7093,7115,7075,7392,7348,7480,7631,7881,8072,8010,8064
213,P&G 아이보리,일반공산품,이미용품,세면용비누,한국P&G,3,개,1,개,,2088,2327,2325,2188,2242,2275,2269,2262,2275,2262,2258
214,도브 뷰티바,일반공산품,이미용품,세면용비누,유니레버코리아,4,개,1,개,,5537,5264,5036,6406,6736,6829,6819,6756,6937,6671,7095
215,두보레 장미비누,일반공산품,이미용품,세면용비누,아모레퍼시픽,4,개,1,개,,3885,4148,3927,4101,4301,4373,4036,3960,4025,4466,4307
216,알뜨랑비누 핑크,일반공산품,이미용품,세면용비누,LG생활건강,3,개,1,개,,2412,2418,2129,2631,2640,2573,2444,2252,2211,2200,2564
217,iope 모이스쳐 래스팅 에멀젼,일반공산품,이미용품,여성용 로션,아모레퍼시픽,120,ml,10,ml,,,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000
218,라네즈 밸런싱 에멀젼 2 EX,일반공산품,이미용품,여성용 로션,아모레퍼시픽,120,ml,10,ml,,,22000,22112,22000,22000,22000,22000,22000,22000,22000,22057
219,이자녹스 알람셀 하이드라 로션,일반공산품,이미용품,여성용 로션,LG생활건강,150,ml,10,ml,,,38000,37848,38000,37771,37669,37771,38000,38000,38000,38000
220,iope 모이스쳐 래스팅 소프너,일반공산품,이미용품,여성용 스킨,아모레퍼시픽,150,ml,10,ml,,,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
221,라네즈 파워 에센셜 스킨 EX,일반공산품,이미용품,여성용 스킨,아모레퍼시픽,160,ml,10,ml,,,20500,20000,20000,19999,20000,20000,20000,20000,20000,20000
222,이자녹스 알람셀 하이드라 스킨,일반공산품,이미용품,여성용 스킨,LG생활건강,170,ml,10,ml,,,34000,34000,34000,33871,33797,33872,34000,34000,34293,34000
223,도브 탄력볼륨테라피 린스,일반공산품,이미용품,일반린스,유니레버코리아,820,ml,100,ml,7210,7441,7918,7627,9103,9709,8026,8036,8307,8637,8846,8970
224,미장센 펄샤이닝모이스쳐 린스,일반공산품,이미용품,일반린스,아모레퍼시픽,780,ml,100,ml,6553,8274,9683,7811,8694,8388,8555,8757,7144,8996,9348,9880
225,엘라스틴 볼륨컨트롤 린스,일반공산품,이미용품,일반린스,LG생활건강,780,ml,100,ml,8132,9684,10046,9585,9578,8692,8471,7752,7983,8333,9977,9376
226,펜틴 밀키모이스쳐 린스,일반공산품,이미용품,일반린스,한국P&G,850,ml,100,ml,9787,9691,10667,10800,10582,10065,9772,9760,9068,9896,9456,9278
227,PACE 6 면도날,일반공산품,이미용품,일반면도날,도루코,4,개,1,개,,11532,10665,10107,10501,10168,9723,8993,8709,8937,9099,9795
228,마하3 면도날,일반공산품,이미용품,일반면도날,질레트,4,개,1,개,,10743,10228,9641,9709,9302,8832,8926,8569,9068,9252,8577
229,익스트림3 서브제로 3날,일반공산품,이미용품,일반면도날,쉬크,4,개,1,개,,8482,8887,8230,8226,8340,8352,8258,8239,8327,8404,8375
230,도브 탄력볼륨테라피 샴푸,일반공산품,이미용품,일반샴푸,유니레버코리아,820,ml,100,ml,7720,7907,7672,7425,8289,9299,7433,7595,7858,8307,8563,8844
231,미장센 펄샤이닝모이스쳐 샴푸,일반공산품,이미용품,일반샴푸,아모레퍼시픽,780,ml,100,ml,7839,8491,9814,8239,8830,8646,8971,8710,7684,8954,9388,9636
232,엘라스틴 볼륨컨트롤 샴푸,일반공산품,이미용품,일반샴푸,LG생활건강,780,ml,100,ml,9637,9780,10026,9593,9553,8787,8520,7868,8101,8386,9605,9282
233,펜틴 밀키모이스쳐 샴푸,일반공산품,이미용품,일반샴푸,한국P&G,850,ml,100,ml,,9882,10686,10770,10565,10059,9326,9060,8726,9645,9455,8996
234,뉴하기스골드4 남아용,일반공산품,이미용품,종이기저귀,유한킴벌리,60,개,1,개,23227,24346,25719,25273,25753,26560,26110,26954,27194,27258,27092,26893
235,2080 오리지날(단품),일반공산품,이미용품,치약,애경,160,g,10,g,3566,2262,2838,2292,2359,2350,2245,2231,2274,2281,2352,2270
236,2080 오리지날(묶음),일반공산품,이미용품,치약,애경,480,g,10,g,5794,4972,5415,5003,4614,4830,4665,4711,4881,5216,5387,5781
237,메디안크리닉치약(단품),일반공산품,이미용품,치약,아모레퍼시픽,160,g,10,g,3351,1688,2262,1851,1700,1700,1700,1700,1700,1700,1700,1700
238,메디안크리닉치약(묶음),일반공산품,이미용품,치약,아모레퍼시픽,480,g,10,g,3740,3519,3836,3045,3079,2915,2528,2670,2705,2770,2847,3112
239,페리오A(단품),일반공산품,이미용품,치약,LG생활건강,130,g,10,g,3335,2542,3739,2450,2361,2285,2053,2000,2000,2165,2275,2275
240,페리오A(묶음),일반공산품,이미용품,치약,LG생활건강,390,g,10,g,4427,4659,4306,4644,4424,5088,4893,4735,4890,4951,5142,5202
241,Neut.핸드크림,일반공산품,이미용품,핸드로션,한국존슨앤존슨,56,g,10,g,6577,5989,5864,5706,5620,6260,5510,5939,6087,6069,5912,6395
242,니베아 SOS,일반공산품,이미용품,핸드로션,니베아,50,g,10,g,6577,7032,6293,6351,5928,5921,5834,5860,5998,6036,6087,6165
243,뷰티 모이스처,일반공산품,이미용품,핸드로션,유니레버코리아,75,g,10,g,5113,5690,4382,4742,4855,4850,4855,4829,4843,4851,4889,4877
